id,sample,date,x,y,county,location,source,stage,sex_id,species_id,DNA_id,Bisected,Digested_DNA,Extracted_DNA,rick17k,rompA,Sequencing
baker-17,18-017,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,male,andersoni,1_17.4,1,1,1,0,,
baker-17,18-017,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,male,andersoni,1_17.5,1,1,1,1,,
baker-18,18-018,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_18.1,1,1,1,1,,
baker-18,18-018,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_18.2,1,1,1,1,,
baker-18,18-018,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_18.3,1,1,1,1,,
baker-18,18-018,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_18.4,1,1,1,1,,
baker-18,18-018,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_18.5,1,1,1,1,,
baker-19,18-019,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_19.1,1,1,1,1,,
baker-19,18-019,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_19.2,1,1,1,1,,
baker-19,18-019,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_19.3,1,1,1,1,,
baker-19,18-019,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_19.4,1,1,1,1,,
baker-19,18-019,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_19.5,1,1,1,1,,
baker-20,18-020,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_20.1,1,1,1,1,,
baker-20,18-020,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_20.2,1,1,1,1,,
baker-20,18-020,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_20.3,1,1,1,1,,
baker-20,18-020,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_20.4,1,1,1,1,,
baker-20,18-020,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_20.5,1,1,1,1,,
baker-21,18-021,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,female,andersoni,1_21.1,1,1,1,1,,
baker-21,18-021,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,male,andersoni,1_21.2,1,1,1,0,,
baker-21,18-021,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,male,andersoni,1_21.3,1,1,1,0,,
baker-21,18-021,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,male,andersoni,1_21.4,1,1,1,1,,
baker-21,18-021,4/6/18,-118.0488,44.6867,baker,baker,environment,adult,male,andersoni,1_21.5,1,1,1,1,,
baker-22,18-022,4/9/18,-117.7383,44.8132,baker,baker,environment,adult,female,andersoni,1_22.1,1,1,1,1,,
baker-23,18-023,4/9/18,-117.7428,44.8157,baker,baker,environment,adult,male,andersoni,1_23.1,1,1,1,1,,
baker-23,18-023,4/9/18,-117.7428,44.8157,baker,baker,environment,adult,male,andersoni,1_23.2,1,1,1,1,,
baker-24,18-024,4/20/18,-117.8117,44.8591,baker,baker,environment,adult,female,variabilis,1_24.1,1,1,1,0,,
baker-25,18-025,4/20/18,-117.8117,44.8591,baker,baker,environment,adult,male,variabilis,1_25.1,1,1,1,1,,
baker-26,18-026,4/26/18,-117.6642,44.8186,baker,baker,environment,adult,male,andersoni,1_26.1,1,1,1,1,,
baker-26,18-026,4/26/18,-117.6642,44.8186,baker,baker,environment,adult,male,andersoni,1_26.2,1,1,1,0,,
baker-27,18-027,4/26/18,-117.6642,44.8186,baker,baker,environment,adult,female,andersoni,1_27.1,1,1,1,1,,
baker-27,18-027,4/26/18,-117.6642,44.8186,baker,baker,environment,adult,female,andersoni,1_27.2,1,1,1,1,,
baker-27,18-027,4/26/18,-117.6642,44.8186,baker,baker,environment,adult,female,andersoni,1_27.3,1,1,1,1,,
baker-28,18-028,4/27/18,-117.6008,44.8728,baker,baker,host,adult,female,andersoni,1_28.1,engorged,,1,,,
baker-29,18-029,4/27/18,-117.6008,44.8728,baker,baker,host,adult,female,andersoni,1_29.1,engorged,,1,,,
baker-29,18-029,4/27/18,-117.6008,44.8728,baker,baker,host,adult,female,andersoni,1_29.2,engorged,,1,,,
baker-29,18-029,4/27/18,-117.6008,44.8728,baker,baker,host,adult,male,andersoni,1_29.3,1,1,1,1,,
baker-30,18-030,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_30.1,1,1,1,1,,
baker-30,18-030,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_30.2,1,1,1,0,,
baker-30,18-030,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_30.3,1,1,1,0,,
baker-30,18-030,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_30.4,1,1,1,1,,
baker-30,18-030,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_30.5,1,1,1,0,,
baker-31,18-031,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_31.1,1,1,1,1,,
baker-31,18-031,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_31.2,1,1,1,1,,
baker-31,18-031,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,female,andersoni,1_31.3,1,1,1,1,,
baker-32,18-032,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,male,variabilis,1_32.1,1,1,1,0,,
baker-32,18-032,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,male,andersoni,1_32.2,1,1,1,1,,
baker-32,18-032,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,male,andersoni,1_32.3,1,1,1,1,,
baker-32,18-032,5/14/18,-117.7598,44.6352,baker,baker,environment,adult,male,andersoni,1_32.4,1,1,1,1,,
baker-33,18-033,5/11/18,-117.9099,44.7757,baker,baker,host,adult,male,andersoni,1_33.1,1,1,1,1,,
baker-34,18-034,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_34.1,1,1,1,1,,
baker-34,18-034,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_34.2,1,1,1,1,,
baker-34,18-034,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_34.3,1,1,1,1,,
baker-34,18-034,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_34.4,1,1,1,1,,
baker-34,18-034,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_34.5,1,1,1,1,,
baker-35,18-035,5/11/18,-117.5943,44.8565,baker,baker,host,adult,male,andersoni,1_35.1,1,1,1,1,,
baker-36,18-036,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_36.1,1,1,1,0,,
baker-36,18-036,5/11/18,-117.5943,44.8565,baker,baker,host,adult,female,andersoni,1_36.2,engorged,,,,,
baker-36,18-036,5/11/18,-117.5943,44.8565,baker,baker,host,adult,male,andersoni,1_36.3,1,1,1,0,,
